symbol,Growth,Duration,Inflation,Credit,Commodity
SPY,1.0000000000000004,7.7021722333370235e-16,-1.0269562977782698e-15,2.7755575615628914e-17,-1.1102230246251565e-16
QQQ,1.5295011386010882,-0.18164010612966902,-0.9632750744693459,-0.8850879579402495,-0.0030577877741660986
TLT,1.942890293094024e-16,0.9999999999999998,-6.284035791725984e-16,2.1597307275911248e-16,-1.8735013540549517e-16
IEF,0.0036193698914090203,0.1884470627810501,0.7158305484578231,-0.27734665439545325,-0.03791094019321284
TIP,0.0,1.6046192152785466e-16,0.999999999999999,9.020562075079397e-17,1.249000902703301e-16
LQD,-0.020194661483277226,0.4320246904741025,0.691958163309191,0.47007280621725483,-0.026852516074732567
HYG,0.003619369891408847,0.18844706278105053,0.7158305484578231,0.7226533456045466,-0.0379109401932127
DBC,5.551115123125783e-16,-7.164407955784213e-16,1.5890067039947553e-15,-7.216449660063518e-16,0.9999999999999996
GLD,-0.26514682584978017,-0.14550934639287638,1.7873347785304876,-0.3792033784012306,-0.09547130086245745
SHY,-0.025134184521078323,-0.02556946287353282,0.3698923559337781,-0.03992579872880109,-0.029901201857903112
