symbol,Growth,Duration,Inflation,Credit,Commodity
SPY,1.0,-2.220446049250313e-16,-6.661338147750939e-16,2.7755575615628914e-16,-5.551115123125783e-16
QQQ,1.5295011386010886,-0.18164010612967119,-1.9265501489386918,-0.8850879579402493,0.9602172866951789
IWM,0.9062269524709259,0.2886890475319978,2.240977984319943,1.0196337081612823,-1.0378978232676763
EFA,0.31077584331776487,-0.06974176749552187,4.174433503001074,0.46541488535415876,-2.18139633742919
EEM,0.8330538810849151,-0.08915160842549433,1.091542354321216,-0.6583258353511896,-0.37214730409527536
TLT,-1.5265566588595902e-16,1.0,-9.410874857174178e-16,-9.540979117872439e-17,-2.42861286636753e-17
IEF,0.0036193698914085484,0.18844706278105136,1.4316610969156471,-0.2773466543954533,-0.7537414886510366
TIP,-2.7755575615628914e-16,9.770829978439366e-16,2.0000000000000004,3.3306690738754696e-16,-1.0000000000000004
LQD,-0.02019466148327778,0.4320246904741028,1.3839163266183847,0.4700728062172547,-0.7188106793839252
HYG,0.0036193698914085415,0.1884470627810507,1.4316610969156476,0.7226533456045466,-0.7537414886510367
DBC,-1.1102230246251565e-16,-2.706168622523819e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.9999999999999994
GLD,-0.26514682584978067,-0.14550934639287333,3.574669557060966,-0.3792033784012318,-1.88280607939294
SHY,-0.025134184521078545,-0.02556946287353239,0.7397847118675567,-0.039925798728801094,-0.3997935577916814
